gpsTime,lat,lon,altitude,speed,bearing,accuracy
1530997255000,40.77840726,-102.3682729,1156.80004882812,1.25,67.2,3
1530997256000,40.77841508,-102.36826107,1156.40002441406,1.25,54.4,3
1530997257000,40.77842552,-102.36825104,1156.59997558594,1.25,41.2,3
1530997258000,40.77843705,-102.36824343,1156.09997558594,1.25,31.2,3
1530997259000,40.77844949,-102.36823858,1155.80004882812,1.25,22.8,3
1530997260000,40.7784637,-102.36823563,1155.80004882812,1.25,15.7,3
1530997261000,40.77847781,-102.36823316,1155.69995117188,1.25,10.8,3
1530997262000,40.77849142,-102.36823306,1155.5,1.25,5.3,3
1530997263000,40.77850475,-102.36823412,1155.19995117188,1.25,2.6,3
1530997264000,40.7785167,-102.36823598,1154.90002441406,1.25,0,3
1530997265000,40.77852719,-102.36823579,1154.40002441406,1.25,3.5,3
1530997266000,40.77853738,-102.36823544,1154.5,1.25,2.7,3
1530997267000,40.77854619,-102.36823469,1154.09997558594,1.25,5.5,3
1530997268000,40.77854331,-102.36823754,1154,0,0,3
1530997269000,40.7785401,-102.36823878,1154.09997558594,0,0,3
1530997270000,40.77853976,-102.36823916,1154.19995117188,0,0,3
1530997271000,40.77854043,-102.36823909,1154.40002441406,0,0,3
1530997272000,40.77854157,-102.36823941,1154.30004882812,0,0,3
1530997273000,40.77854199,-102.36823992,1154.19995117188,0,0,3
1530997274000,40.77854305,-102.36824074,1154.19995117188,0,0,3
1530997275000,40.77854416,-102.36824147,1154.30004882812,0,0,3
1530997276000,40.7785453,-102.36824169,1154.40002441406,0,0,3
1530997277000,40.77854589,-102.36824149,1154.19995117188,0,0,3
1530997278000,40.77854634,-102.36824134,1154.30004882812,0,0,3
1530997279000,40.77854651,-102.36824124,1154.30004882812,0,0,3
1530997280000,40.77854662,-102.3682411,1154.30004882812,0,0,3
1530997281000,40.77854666,-102.36824104,1154.30004882812,0,0,3
1530997282000,40.77854667,-102.36824101,1154.30004882812,0,0,3
1530997283000,40.77854668,-102.36824099,1154.30004882812,0,0,3
1530997284000,40.7785467,-102.36824096,1154.30004882812,0,0,3
1530997285000,40.77854673,-102.36824092,1154.30004882812,0,0,3
1530997286000,40.77854675,-102.36824088,1154.30004882812,0,0,3
1530997287000,40.7785468,-102.36824082,1154.30004882812,0,0,3
1530997288000,40.77854682,-102.36824078,1154.30004882812,0,0,3
1530997289000,40.77854686,-102.36824073,1154.19995117188,0,0,3
1530997290000,40.77854688,-102.36824071,1154.19995117188,0,0,3
1530997291000,40.77854688,-102.3682407,1154.19995117188,0,0,3
1530997292000,40.77854688,-102.36824068,1154.19995117188,0,0,3
1530997293000,40.77854735,-102.36824079,1154.09997558594,0,0,3
1530997294000,40.77854747,-102.36824229,1153.30004882812,0,0,3
1530997295000,40.77854848,-102.36824209,1152.69995117188,0.25,5.5,3
1530997296000,40.77854833,-102.36824054,1152.30004882812,0,0,3
1530997297000,40.77854888,-102.36823907,1152.40002441406,0,0,3
1530997298000,40.77854965,-102.36823786,1152.40002441406,0,0,3
1530997299000,40.77855122,-102.36823726,1152.40002441406,0.25,5.5,3
1530997300000,40.77855458,-102.36823575,1153.40002441406,0.5,5.5,3
1530997301000,40.77855933,-102.3682327,1152.30004882812,0.5,5.5,3
1530997302000,40.77856529,-102.36822873,1151.59997558594,0.5,5.5,3
1530997303000,40.77857162,-102.36822585,1151.5,0.75,5.5,3
1530997304000,40.77857886,-102.36822344,1152.19995117188,0.75,5.5,3
1530997305000,40.77858599,-102.36821984,1152.40002441406,0.75,18.6,3
1530997306000,40.77859462,-102.36821597,1152.69995117188,1,22.1,3
1530997307000,40.77860509,-102.36821129,1152.59997558594,1,26,3
1530997308000,40.77861471,-102.36820533,1152.09997558594,1,29.6,3
1530997309000,40.77862407,-102.36819795,1152.09997558594,1,36.7,3
1530997310000,40.77863311,-102.36818975,1151.90002441406,1,38.4,3
1530997311000,40.77864265,-102.36818056,1151.90002441406,1,39.8,3
1530997312000,40.77865293,-102.36817042,1152.40002441406,1,38.9,3
1530997313000,40.77866274,-102.36816005,1152.19995117188,1,35,3
1530997314000,40.77867405,-102.36815058,1151.5,1,30,3
1530997315000,40.77868563,-102.36814152,1151.30004882812,1.25,24.8,3
1530997316000,40.77869956,-102.36813193,1151.40002441406,1.25,22.2,3
1530997317000,40.77871497,-102.3681234,1152.09997558594,1.25,18.3,3
1530997318000,40.77873055,-102.36811685,1152.40002441406,1.25,13.4,3
1530997319000,40.77874633,-102.36811205,1152.69995117188,1.25,7,3
1530997320000,40.77876226,-102.36810789,1152.30004882812,1.25,4.4,3
1530997321000,40.77877821,-102.36810542,1151.30004882812,1.25,359.1,3
1530997322000,40.77879363,-102.36810399,1150.90002441406,1.25,357.8,3
1530997323000,40.77880889,-102.36810345,1151.30004882812,1.25,356.6,3
1530997324000,40.77882371,-102.36810305,1151.19995117188,1.25,0,3
1530997325000,40.77883865,-102.36810208,1151.5,1.25,1,3
1530997326000,40.77885415,-102.36810065,1151.59997558594,1.25,2.1,3
1530997327000,40.77886923,-102.36809931,1151,1.25,2.1,3
1530997328000,40.77888437,-102.36809894,1150.80004882812,1.25,1.3,3
1530997329000,40.77889914,-102.36809915,1150.09997558594,1.25,359.7,3
1530997330000,40.77891419,-102.3680989,1150.80004882812,1.5,359.6,3
1530997331000,40.77892911,-102.36809852,1151,1.5,1.9,3
1530997332000,40.77894524,-102.36809767,1151,1.5,2.9,3
1530997333000,40.778961,-102.36809661,1150.19995117188,1.5,2.5,3
1530997334000,40.77897642,-102.36809555,1150.09997558594,1.5,0.5,3
1530997335000,40.77899122,-102.36809469,1150.09997558594,1.5,2,3
1530997336000,40.77900621,-102.36809305,1150.5,1.5,3.3,3
1530997337000,40.77902133,-102.36809123,1150.59997558594,1.5,3.6,3
1530997338000,40.77903635,-102.36809001,1150.80004882812,1.5,0.4,3
1530997339000,40.77905091,-102.36808978,1151.30004882812,1.5,359.2,3
1530997340000,40.7790653,-102.36809051,1151.30004882812,1.5,357.5,3
1530997341000,40.77908041,-102.36809162,1152.09997558594,1.5,357.9,3
1530997342000,40.77909467,-102.36809221,1151.69995117188,1.5,357.9,3
1530997343000,40.77910955,-102.36809332,1151.5,1.5,356.9,3
1530997344000,40.77912515,-102.36809438,1151.69995117188,1.5,357.1,3
1530997345000,40.77914061,-102.3680952,1151.90002441406,1.5,356,3
1530997346000,40.77915581,-102.3680963,1151.40002441406,1.5,357.2,3
1530997347000,40.77917123,-102.36809785,1151,1.5,356.3,3
1530997348000,40.77918644,-102.36810005,1151.09997558594,1.5,354.2,3
1530997349000,40.77920184,-102.36810278,1151.09997558594,1.5,353.5,3
1530997350000,40.77921679,-102.36810475,1151.09997558594,1.5,355.1,3
1530997351000,40.77923109,-102.36810593,1151,1.5,356.2,3
1530997352000,40.77924528,-102.36810749,1150.19995117188,1.5,356.5,3
1530997353000,40.7792598,-102.36810914,1150.19995117188,1.5,355.5,3
1530997354000,40.77927384,-102.36811021,1150.09997558594,1.5,357.3,3
1530997355000,40.77928822,-102.36811048,1150.19995117188,1.5,357.9,3
1530997356000,40.77930286,-102.36811076,1149.90002441406,1.5,358.5,3
1530997357000,40.77931801,-102.36811084,1150,1.5,358.9,3
