gpsTime,lat,lon,altitude,speed,bearing,accuracy
1530997739000,40.78176052,-102.3681599,1152.80004882812,4,0.7,3
1530997740000,40.78179706,-102.36815945,1152.69995117188,4,0.4,3
1530997741000,40.78183372,-102.36815925,1152.69995117188,4,0.2,3
1530997742000,40.78187036,-102.36815914,1152.59997558594,4,0,3
1530997743000,40.78190702,-102.36815877,1152.40002441406,4,0.3,3
1530997744000,40.78194364,-102.36815808,1152.40002441406,4,0.6,3
1530997745000,40.78198042,-102.36815711,1152.40002441406,4,0.7,3
1530997746000,40.78201729,-102.3681565,1152.30004882812,4,0.5,3
1530997747000,40.78205378,-102.36815603,1152.30004882812,4,0.3,3
1530997748000,40.78209016,-102.36815551,1152.30004882812,4,0.3,3
1530997749000,40.78212648,-102.36815516,1152.19995117188,4,0,3
1530997750000,40.78216278,-102.36815582,1152.09997558594,4,359.2,3
1530997751000,40.78219925,-102.36815797,1152.09997558594,4,357.8,3
1530997752000,40.78223577,-102.36816113,1152.09997558594,4,356.6,3
1530997753000,40.78227212,-102.36816538,1152,4,355.5,3
1530997754000,40.78230848,-102.36816955,1152,4,355.5,3
1530997755000,40.78234538,-102.36817161,1152.40002441406,4,357.5,3
1530997756000,40.78238238,-102.36817323,1152.59997558594,4,358.8,3
1530997757000,40.78241991,-102.3681725,1152.90002441406,4,1.2,3
1530997758000,40.78245749,-102.36816999,1152.5,4,3.5,3
1530997759000,40.78249419,-102.36816564,1152.09997558594,4,4.7,3
1530997760000,40.78253033,-102.36816128,1152.40002441406,4,4.7,3
1530997761000,40.78256694,-102.36815714,1151.90002441406,4,4.4,3
1530997762000,40.78260373,-102.36815412,1152.5,4,4.1,3
1530997763000,40.78264111,-102.36815269,1152.19995117188,4,2.8,3
1530997764000,40.78267863,-102.36815258,1152.19995117188,4,1.3,3
1530997765000,40.78271614,-102.3681544,1151.90002441406,4,0.3,3
1530997766000,40.7827539,-102.36815606,1151.80004882812,4,0.7,3
1530997767000,40.78279092,-102.36815698,1152.30004882812,4,1,3
1530997768000,40.78282742,-102.36815832,1152.09997558594,4,0.4,3
1530997769000,40.78286487,-102.36815982,1152.69995117188,4,0.1,3
1530997770000,40.78290173,-102.36816227,1152.5,4,359.6,3
1530997771000,40.78293886,-102.36816364,1152.30004882812,4,359.8,3
1530997772000,40.78297642,-102.36816563,1152.09997558594,4,358.7,3
1530997773000,40.78301393,-102.36816693,1152.69995117188,4,359.2,3
1530997774000,40.78305101,-102.36816747,1153,4,359.1,3
1530997775000,40.78308833,-102.36816746,1152.19995117188,4,0.4,3
1530997776000,40.78312471,-102.36816673,1151.90002441406,4,0,3
1530997777000,40.78316131,-102.36816624,1151.59997558594,4,0.2,3
1530997778000,40.78319757,-102.36816553,1151.40002441406,4,359.4,3
1530997779000,40.78323328,-102.36816426,1151.30004882812,4,359.9,3
1530997780000,40.78326852,-102.36816329,1151.5,4,0.3,3
1530997781000,40.78330351,-102.36816233,1151.09997558594,4,0.7,3
1530997782000,40.78333794,-102.36816182,1150.59997558594,4,0.4,3
1530997783000,40.78337179,-102.36816051,1150.30004882812,4,1,3
1530997784000,40.78340636,-102.36815812,1151.09997558594,4,1.5,3
1530997785000,40.78344044,-102.36815631,1150.5,4,1.8,3
1530997786000,40.78347505,-102.36815505,1150.80004882812,4,1.6,3
1530997787000,40.78350997,-102.36815463,1150.90002441406,4,0.1,3
1530997788000,40.78354496,-102.36815556,1151.40002441406,4,359.2,3
1530997789000,40.78358133,-102.36815716,1151.5,4,358.3,3
1530997790000,40.78361804,-102.36815954,1151.19995117188,4,357.6,3
1530997791000,40.78365491,-102.36816302,1151.40002441406,4,357.3,3
1530997792000,40.78369191,-102.36816721,1151.09997558594,4,356.4,3
1530997793000,40.78372878,-102.36817076,1151.19995117188,4,357.1,3
1530997794000,40.78376615,-102.36817415,1151.30004882812,4,357.4,3
1530997795000,40.78380336,-102.3681774,1151.80004882812,4,357.2,3
1530997796000,40.78384184,-102.3681805,1152.19995117188,4,357.6,3
1530997797000,40.78388068,-102.36818199,1152.19995117188,4,358,3
1530997798000,40.7839191,-102.368183,1152.30004882812,4,358.8,3
1530997799000,40.78395551,-102.36818414,1151.69995117188,4,359,3
1530997800000,40.78399245,-102.36818557,1151.80004882812,4,358.8,3
1530997801000,40.78402868,-102.36818555,1151.30004882812,4,359.7,3
1530997802000,40.78406443,-102.36818469,1151.40002441406,4,0.5,3
1530997803000,40.78410043,-102.36818334,1151.59997558594,4,0.9,3
1530997804000,40.78413677,-102.36818193,1151.90002441406,4,0.6,3
1530997805000,40.78417286,-102.36818124,1151.5,4,0.8,3
