gpsTime,lat,lon,altitude,x,y,speed
1530982616000,40.79290343,-102.3827528,1157.59997558594,720813.402124074,4519063.97557115,1.5
1530982617000,40.79290575,-102.38277432,1157.59997558594,720811.578633338,4519064.17891578,1.5
1530982618000,40.79290789,-102.38279593,1157.59997558594,720809.748145587,4519064.36204999,1.5
1530982619000,40.79290862,-102.38281741,1157.59997558594,720807.933301948,4519064.38897031,1.5
1530982620000,40.79290765,-102.38283731,1157.5,720806.25741082,4519064.2311339,1.5
1530982621000,40.79290541,-102.38285556,1157.30004882812,720804.724952815,4519063.93645678,1.5
1530982622000,40.79290297,-102.38287315,1157.30004882812,720803.248846793,4519063.62123851,1.5
1530982623000,40.79290021,-102.38289008,1157.90002441406,720801.829490607,4519063.27215634,1.5
1530982624000,40.79289735,-102.38290723,1157.80004882812,720800.391902852,4519062.91141784,1.5
1530982625000,40.79289503,-102.38292545,1157.90002441406,720798.862240972,4519062.60793573,1.5
1530982626000,40.79289249,-102.38294448,1158.19995117188,720797.264962792,4519062.27798801,1.5
1530982627000,40.79289034,-102.38296445,1158.40002441406,720795.587076862,4519061.98897095,1.5
1530982628000,40.79288917,-102.38298276,1158.19995117188,720794.046008048,4519061.81293912,1.5
1530982629000,40.79288874,-102.38299952,1158,720792.633270607,4519061.72296982,1.5
1530982630000,40.79288865,-102.38301503,1158.09997558594,720791.32487753,4519061.67389804,1.5
1530982631000,40.79288919,-102.38301394,1158.09997558594,720791.415058485,4519061.73659668,0
1530982632000,40.79289019,-102.38300964,1158.09997558594,720791.774565421,4519061.85845378,0
1530982633000,40.79289177,-102.38300686,1158,720792.003896013,4519062.04087416,0
1530982634000,40.79289309,-102.38300442,1158.19995117188,720792.205400309,4519062.19357198,0
1530982635000,40.79289335,-102.3830028,1158.30004882812,720792.341229492,4519062.2265197,0
1530982636000,40.79289279,-102.38300159,1158.5,720792.445182566,4519062.16739581,0
1530982637000,40.79289151,-102.38300148,1158.59997558594,720792.45870769,4519062.025564,0
1530982638000,40.79289021,-102.38300191,1158.59997558594,720792.426735395,4519061.88015112,0
1530982639000,40.79288932,-102.38300204,1158.69995117188,720792.418716995,4519061.78101342,0
1530982640000,40.79288889,-102.38300189,1158.69995117188,720792.432799178,4519061.73365164,0
1530982641000,40.79288854,-102.3830016,1158.69995117188,720792.458428951,4519061.69552442,0
1530982642000,40.79288844,-102.38300382,1158.69995117188,720792.271442945,4519061.67882852,0.5
1530982643000,40.79288801,-102.38300985,1159,720791.764073594,4519061.61589531,0.5
1530982644000,40.79288772,-102.38301693,1159.59997558594,720791.167643957,4519061.56585968,0.75
1530982645000,40.79288868,-102.38302648,1159.80004882812,720790.358658333,4519061.6483789,0.75
1530982646000,40.79289105,-102.3830374,1159.80004882812,720789.429401321,4519061.88398825,0.75
1530982647000,40.79289352,-102.38304709,1160.09997558594,720788.603596882,4519062.13379909,0.75
1530982648000,40.79289556,-102.38305812,1159.69995117188,720787.66615254,4519062.33249402,0.75
1530982649000,40.79289778,-102.38306982,1159.30004882812,720786.671578747,4519062.54948502,0.75
1530982650000,40.79289981,-102.38308065,1159.09997558594,720785.751043127,4519062.74757389,0.75
1530982651000,40.79290301,-102.38309141,1158,720784.832535165,4519063.07573572,0.75
1530982652000,40.79290565,-102.38310223,1158.40002441406,720783.910821172,4519063.34157381,0.75
1530982653000,40.79290754,-102.3831136,1158.40002441406,720782.945186162,4519063.52275928,0.75
1530982654000,40.79290989,-102.38312523,1158.59997558594,720781.956088142,4519063.75436022,0.75
1530982655000,40.7929127,-102.38313689,1158.69995117188,720780.962933902,4519064.03695611,1
1530982656000,40.79291457,-102.38314849,1158.69995117188,720779.977958617,4519064.21534202,1
1530982657000,40.79291427,-102.38315989,1158.40002441406,720779.017052671,4519064.15331286,1
1530982658000,40.79291094,-102.38317107,1158.19995117188,720778.084754516,4519063.75543953,1
1530982659000,40.79290606,-102.38318186,1157.69995117188,720777.190501803,4519063.18646384,1
1530982660000,40.79290092,-102.38319214,1157.69995117188,720776.340143276,4519062.58990731,1
1530982661000,40.7928968,-102.38320184,1157.80004882812,720775.535342047,4519062.10805525,1
1530982662000,40.79289471,-102.38320193,1158.19995117188,720775.534676606,4519061.8757912,0
1530982663000,40.79289463,-102.38319997,1158,720775.700321242,4519061.87184754,0
1530982664000,40.79289452,-102.38319926,1157.90002441406,720775.760593756,4519061.86142386,0
