gpsTime,lat,lon,altitude,x,y,speed
1530997250000,40.77839619,-102.36835215,1158.30004882812,722076.849324451,4517489.7305023,1.25
1530997251000,40.77839668,-102.36833509,1158.19995117188,722078.287483732,4517489.82812659,1.25
1530997252000,40.77839752,-102.36831833,1157.90002441406,722079.69915771,4517489.96384898,1.25
1530997253000,40.77839901,-102.36830176,1157.69995117188,722081.092630001,4517490.17125496,1.25
1530997254000,40.77840201,-102.36828659,1156.90002441406,722082.362915249,4517490.54275821,1.25
1530997255000,40.77840726,-102.3682729,1156.80004882812,722083.500795272,4517491.16031272,1.25
1530997256000,40.77841508,-102.36826107,1156.40002441406,722084.473133002,4517492.05848287,1.25
1530997257000,40.77842552,-102.36825104,1156.59997558594,722085.284825467,4517493.24297174,1.25
1530997258000,40.77843705,-102.36824343,1156.09997558594,722085.888646877,4517494.5423438,1.25
1530997259000,40.77844949,-102.36823858,1155.80004882812,722086.256502708,4517495.93575348,1.25
1530997260000,40.7784637,-102.36823563,1155.80004882812,722086.458106933,4517497.52085916,1.25
1530997261000,40.77847781,-102.36823316,1155.69995117188,722086.61953441,4517499.09364641,1.25
1530997262000,40.77849142,-102.36823306,1155.5,722086.582610562,4517500.60491747,1.25
1530997263000,40.77850475,-102.36823412,1155.19995117188,722086.448720989,4517502.08216311,1.25
1530997264000,40.7785167,-102.36823598,1154.90002441406,722086.251914587,4517503.40417058,1.25
1530997265000,40.77852719,-102.36823579,1154.40002441406,722086.232985607,4517504.56927915,1.25
1530997266000,40.77853738,-102.36823544,1154.5,722086.228559843,4517505.70148633,1.25
1530997267000,40.77854619,-102.36823469,1154.09997558594,722086.262491983,4517506.68149579,1.25
1530997268000,40.77854331,-102.36823754,1154,722086.031563787,4517506.35452962,0
1530997269000,40.7785401,-102.36823878,1154.09997558594,722085.937612442,4517505.99500525,0
1530997270000,40.77853976,-102.36823916,1154.19995117188,722085.906675356,4517505.95629476,0
1530997271000,40.77854043,-102.36823909,1154.40002441406,722085.910349879,4517506.03085726,0
1530997272000,40.77854157,-102.36823941,1154.30004882812,722085.879543557,4517506.15661225,0
1530997273000,40.77854199,-102.36823992,1154.19995117188,722085.835101892,4517506.20194956,0
1530997274000,40.77854305,-102.36824074,1154.19995117188,722085.762364408,4517506.31755589,0
1530997275000,40.77854416,-102.36824147,1154.30004882812,722085.697055879,4517506.43894139,0
1530997276000,40.7785453,-102.36824169,1154.40002441406,722085.674689123,4517506.56494975,0
1530997277000,40.77854589,-102.36824149,1154.19995117188,722085.689601724,4517506.63095983,0
1530997278000,40.77854634,-102.36824134,1154.30004882812,722085.700761177,4517506.68130005,0
1530997279000,40.77854651,-102.36824124,1154.30004882812,722085.708634112,4517506.70042727,0
1530997280000,40.77854662,-102.3682411,1154.30004882812,722085.720082859,4517506.71299447,0
1530997281000,40.77854666,-102.36824104,1154.30004882812,722085.725013273,4517506.7175874,0
1530997282000,40.77854667,-102.36824101,1154.30004882812,722085.72751181,4517506.71877364,0
1530997283000,40.77854668,-102.36824099,1154.30004882812,722085.729166392,4517506.71993454,0
