gpsTime,lat,lon,altitude,x,y,speed
1530985023000,40.78571029,-102.38251224,1153.90002441406,720857.55028372,4518265.9807829,1.5
1530985024000,40.78570648,-102.38249528,1154,720858.994108799,4518265.60052693,1.5
1530985025000,40.78570225,-102.38247537,1154.90002441406,720860.688266421,4518265.18107597,1.5
1530985026000,40.78569823,-102.38245534,1154.40002441406,720862.391854363,4518264.78524253,1.5
1530985027000,40.7856946,-102.38243904,1153.80004882812,720863.779388156,4518264.42330828,1.5
1530985028000,40.78569204,-102.38242594,1153.69995117188,720864.893337924,4518264.17210402,1.25
1530985029000,40.78569238,-102.38242902,1153.80004882812,720864.632300495,4518264.20208973,0
1530985030000,40.78569162,-102.38243383,1153.59997558594,720864.228921707,4518264.10559088,0
1530985031000,40.78569103,-102.38243324,1153.59997558594,720864.280665872,4518264.04157445,0.5
1530985032000,40.78568961,-102.38242577,1153.59997558594,720864.915740463,4518263.90274768,0.75
1530985033000,40.78568722,-102.38241407,1153.69995117188,720865.91098573,4518263.66688924,1
1530985034000,40.78568338,-102.38240077,1153.40002441406,720867.046056966,4518263.27408048,1
1530985035000,40.78567968,-102.38238687,1153.40002441406,720868.231295998,4518262.89832714,1
1530985036000,40.78567651,-102.38237309,1153.19995117188,720869.404651502,4518262.5811135,1
1530985037000,40.78567327,-102.38236047,1153.19995117188,720870.480350953,4518262.25320506,1
1530985038000,40.78567196,-102.38235284,1153.40002441406,720871.128562954,4518262.12699453,0
1530985039000,40.78567235,-102.38235177,1153.19995117188,720871.217563327,4518262.17298991,0
1530985040000,40.78567212,-102.38235177,1153.09997558594,720871.21832593,4518262.14745473,0
1530985041000,40.78567109,-102.38235126,1153.30004882812,720871.264778151,4518262.03438682,0
1530985042000,40.78567057,-102.38235082,1153,720871.30363233,4518261.97776398,0
1530985043000,40.78567085,-102.38235089,1153.09997558594,720871.296796892,4518262.00867388,0
1530985044000,40.7856701,-102.38234951,1152.90002441406,720871.415736926,4518261.92888484,0
1530985045000,40.7856694,-102.38234885,1152.80004882812,720871.473752944,4518261.85283239,0
