gpsTime,lat,lon,altitude,x,y,speed
1530749244000,40.66828392,-102.14464192,1093.40002441406,741355.12111772,4505855.45558199,0.5
1530749245000,40.66828451,-102.14463004,1093,741356.123296988,4505855.55373007,0.75
1530749246000,40.66828369,-102.14462066,1093,741356.919220186,4505855.48846478,0.75
1530749247000,40.66828221,-102.14461126,1093.30004882812,741357.719215925,4505855.34997865,0.75
1530749248000,40.6682798,-102.14460106,1093.5,741358.59019804,4505855.11043847,0.75
1530749249000,40.6682774,-102.14459114,1093.80004882812,741359.437473559,4505854.87123924,0.75
1530749250000,40.66827514,-102.14458062,1093.69995117188,741360.334966564,4505854.64923219,0.75
1530749251000,40.66827236,-102.14457024,1094.40002441406,741361.222500916,4505854.36910801,0.75
1530749252000,40.668269,-102.14455795,1095,741362.273595576,4505854.02983842,0.75
1530749253000,40.66826688,-102.14454588,1094.59997558594,741363.301617096,4505853.82763429,0.75
1530749254000,40.66826459,-102.14453395,1095,741364.318416896,4505853.60617151,0.75
1530749255000,40.66826249,-102.14452266,1095,741365.280426909,4505853.40404477,0.75
1530749256000,40.66825982,-102.14451094,1095.19995117188,741366.280845281,4505853.13981604,0.75
1530749257000,40.66825805,-102.14449924,1095.30004882812,741367.276324986,4505852.97545415,0.75
1530749258000,40.66825696,-102.14448593,1094.90002441406,741368.405456524,4505852.89101296,0.75
1530749259000,40.66825636,-102.14447236,1095.40002441406,741369.554799558,4505852.86168821,0.75
1530749260000,40.66825626,-102.14445912,1095.69995117188,741370.674440681,4505852.88696884,0.75
1530749261000,40.66825497,-102.1444452,1096,741371.855862147,4505852.78199962,1
1530749262000,40.66825384,-102.14443049,1095.80004882812,741373.103491077,4505852.69696535,1
1530749263000,40.668253,-102.144416,1096.30004882812,741374.331475134,4505852.64352371,1
1530749264000,40.66825359,-102.14440134,1095.5,741375.568669776,4505852.74931388,1
1530749265000,40.66825422,-102.14438537,1095.69995117188,741376.916464534,4505852.86314515,1
1530749266000,40.66825468,-102.14436796,1095.59997558594,741378.386607219,4505852.96205977,1
1530749267000,40.66825468,-102.14435143,1095.69995117188,741379.784016805,4505853.00748531,1
1530749268000,40.6682545,-102.14433447,1095.90002441406,741381.218427278,4505853.03410845,1
1530749269000,40.66825429,-102.14431814,1096.59997558594,741382.599687231,4505853.05566984,1
1530749270000,40.66825347,-102.14430154,1096.59997558594,741384.005973965,4505853.01024879,1
1530749271000,40.66825303,-102.14428494,1096.69995117188,741385.410889259,4505853.00701715,1
1530749272000,40.66825167,-102.14426789,1097.19995117188,741386.85716702,4505852.90288029,1
1530749273000,40.66825104,-102.14425551,1097.30004882812,741387.906018647,4505852.86695735,1
1530749274000,40.66824849,-102.14423466,1096.40002441406,741389.677835081,4505852.64114542,1
1530749275000,40.66824718,-102.14421911,1096.69995117188,741390.997125879,4505852.53843829,1
1530749276000,40.66824632,-102.144203,1096.5,741392.362133731,4505852.48723123,1
1530749277000,40.66824593,-102.14418684,1096.40002441406,741393.729672155,4505852.48834315,1
1530749278000,40.66824519,-102.14416931,1096,741395.214290637,4505852.454362,1
1530749279000,40.66824429,-102.14415132,1096,741396.738374031,4505852.40388148,1.25
1530749280000,40.66824331,-102.14413312,1096.19995117188,741398.280499156,4505852.3450965,1.25
1530749281000,40.66824201,-102.14411458,1096.59997558594,741399.852522182,4505852.25171855,1.25
1530749282000,40.66824113,-102.14409654,1096.90002441406,741401.380760424,4505852.20359688,1.25
1530749283000,40.66824141,-102.14407862,1096.80004882812,741402.89466726,4505852.28393367,1.25
1530749284000,40.6682416,-102.14406145,1097.19995117188,741404.345495582,4505852.35221734,1.25
1530749285000,40.6682428,-102.14404466,1097.30004882812,741405.760553983,4505852.53159124,1.25
1530749286000,40.66824345,-102.14402696,1098.09997558594,741407.254526949,4505852.65240319,1.25
1530749287000,40.66824435,-102.14400982,1097.90002441406,741408.700256348,4505852.79943236,1.25
1530749288000,40.66824506,-102.14399249,1097.80004882812,741410.162733699,4505852.92588944,1.25
1530749289000,40.66824494,-102.14397595,1098.59997558594,741411.561422079,4505852.95802555,1.25
1530749290000,40.66824529,-102.14395937,1098.80004882812,741412.961795485,4505853.04245319,1.25
1530749291000,40.66824517,-102.14394255,1098.80004882812,741414.384154456,4505853.0753594,1.25
1530749292000,40.66824529,-102.14392648,1098.69995117188,741415.742243779,4505853.1328503,1.25
1530749293000,40.66824491,-102.14390984,1098.80004882812,741417.15032446,4505853.13639605,1.25
1530749294000,40.66824537,-102.14389351,1098.5,741418.529166338,4505853.23235026,1.25
