gpsTime,lat,lon,altitude,x,y,speed
1531267200000,40.77882657,-102.08570755,1084.59997558594,745929.693358756,4518292.14963171,7.75
1531267201000,40.77882595,-102.08561862,1084.59997558594,745937.201183222,4518292.33035981,7.75
1531267202000,40.77882548,-102.08553122,1084.69995117188,745944.579324821,4518292.52345568,7.5
1531267203000,40.77882767,-102.08544076,1084.59997558594,745952.205904531,4518293.02047745,7
1531267282000,40.77891764,-102.08462331,1085.09997558594,746020.864988649,4518305.30404663,0.25
1531267283000,40.77892114,-102.08462389,1085.19995117188,746020.80311209,4518305.69101132,0.25
1531267284000,40.77892422,-102.0846243,1085.19995117188,746020.757134294,4518306.0318221,0.25
1531267285000,40.77892489,-102.08462648,1085,746020.57067204,4518306.10008997,0
1531267286000,40.77892652,-102.08462712,1085,746020.510637589,4518306.27926657,0.25
1531267287000,40.77892814,-102.08462659,1085,746020.549385876,4518306.46061745,0.25
1531267288000,40.77892399,-102.08462703,1085.30004882812,746020.527576802,4518305.99862205,0.25
1531267289000,40.7789213,-102.08462661,1085.40002441406,746020.572958284,4518305.7011397,0.25
1531267290000,40.77891923,-102.08462695,1085.30004882812,746020.551907504,4518305.47036025,0.25
1531267291000,40.77892175,-102.08462562,1085.19995117188,746020.654850569,4518305.75388088,0
1531267292000,40.77892418,-102.08462523,1085.09997558594,746020.678791757,4518306.02477025,0.25
1531267293000,40.77892665,-102.08462462,1085.09997558594,746020.721152808,4518306.30071829,0.25
1531267294000,40.77892898,-102.0846243,1085,746020.739555425,4518306.56030849,0.25
1531267295000,40.77893156,-102.08462353,1084.90002441406,746020.795013933,4518306.84891862,0.25
1531267296000,40.77893434,-102.08462232,1084.90002441406,746020.886868999,4518307.16096927,0.25
1531267297000,40.7789364,-102.08461876,1084.80004882812,746021.179718613,4518307.399678,0
1531267298000,40.77893802,-102.08461749,1084.69995117188,746021.280921477,4518307.5831063,0
1531267299000,40.77893952,-102.0846163,1084.40002441406,746021.375815653,4518307.75298683,0
1531267300000,40.77894064,-102.08461585,1084.40002441406,746021.409658584,4518307.87859986,0
1531267301000,40.77894262,-102.08461543,1083.80004882812,746021.437793546,4518308.09961151,0.25
1531267302000,40.7789445,-102.08461483,1083.59997558594,746021.48148947,4518308.31002581,0.25
1531267303000,40.77894641,-102.08461446,1083.30004882812,746021.505663036,4518308.52312523,0.25
1531267304000,40.77894837,-102.08461426,1083.19995117188,746021.51530427,4518308.74129874,0.25
