gpsTime,lat,lon,altitude,x,y,speed
1530984896000,40.78569021,-102.38252142,1158.90002441406,720856.842191054,4518263.72831664,1.25
1530984897000,40.78568695,-102.38251016,1158.80004882812,720857.803190447,4518263.3947587,1.25
1530984898000,40.78568466,-102.38250186,1158.90002441406,720858.511190123,4518263.16143342,1
1530984899000,40.78569075,-102.38251546,1158.90002441406,720857.343343703,4518263.80328815,0
1530984901000,40.78569533,-102.38252363,1158.40002441406,720856.638721979,4518264.29118274,0.25
1530984902000,40.78569284,-102.38252229,1158.80004882812,720856.760055236,4518264.01811347,0
1530984903000,40.78569097,-102.38252144,1158.80004882812,720856.83798358,4518263.81264336,0
1530984904000,40.78569032,-102.38252077,1158.69995117188,720856.89667752,4518263.74216713,0
1530984905000,40.78569032,-102.38252077,1158.69995117188,720856.89667752,4518263.74216713,0
1530984906000,40.78569047,-102.38251561,1159.19995117188,720857.331614071,4518263.77182384,0.25
1530984907000,40.78568946,-102.38251577,1158.90002441406,720857.321460861,4518263.65928788,0
1530984908000,40.78568886,-102.38251574,1158.90002441406,720857.32598173,4518263.59274996,0
1530984909000,40.78568853,-102.38251557,1158.90002441406,720857.341421523,4518263.55654093,0
1530984910000,40.7856886,-102.38251376,1158.80004882812,720857.493928845,4518263.56887376,0.25
1530984911000,40.7856873,-102.38251279,1158.80004882812,720857.580093767,4518263.4269889,0
1530984912000,40.78568624,-102.38251167,1158.90002441406,720857.678120945,4518263.31212746,0
1530984913000,40.78568581,-102.38250983,1158.80004882812,720857.834817597,4518263.26902463,0
1530984914000,40.78568528,-102.38250679,1158.69995117188,720858.0931095,4518263.21784359,0.25
1530984915000,40.78568468,-102.38250366,1158.5,720858.359228265,4518263.15911779,0.25
1530984916000,40.78568503,-102.38250126,1158.5,720858.560595246,4518263.20402378,0
1530984917000,40.7856856,-102.38250017,1158.5,720858.650686615,4518263.27005347,0
1530984918000,40.78568586,-102.38249974,1158.40002441406,720858.686110748,4518263.30000294,0
1530984919000,40.78568579,-102.3824986,1158.40002441406,720858.782543344,4518263.29510422,0
1530984920000,40.78568592,-102.38249602,1158.30004882812,720858.999829282,4518263.31603886,0.25
1530984921000,40.78568599,-102.38249175,1158,720859.359927188,4518263.33457105,0.25
1530984922000,40.78568579,-102.38248726,1157.5,720859.739485289,4518263.32368158,0.25
1530984923000,40.78568515,-102.38248268,1157.19995117188,720860.128096992,4518263.26416903,0.25
1530984924000,40.78568448,-102.38247876,1157.09997558594,720860.461113132,4518263.19966257,0.25
1530984925000,40.78568421,-102.38247526,1157.19995117188,720860.757360778,4518263.17850672,0.25
1530984926000,40.78568462,-102.3824713,1157.09997558594,720861.090171627,4518263.23400543,0.25
1530984927000,40.78568504,-102.38246707,1157.09997558594,720861.445733651,4518263.2912948,0.25
