gpsTime,lat,lon,altitude,x,y,speed
1530811254000,40.70538602,-102.12879673,1099.40002441406,742559.953226183,4510018.36103482,8
1530811255000,40.70537637,-102.12888805,1098.30004882812,742552.272558817,4510017.03727541,8
1530811256000,40.70537489,-102.12897831,1098.40002441406,742544.65178208,4510016.62352632,7.25
1530811257000,40.70536761,-102.12905986,1098.69995117188,742537.787981953,4510015.58990986,7
1530811258000,40.70536859,-102.12913793,1098.30004882812,742531.188216121,4510015.48298128,6.5
1530811259000,40.70536209,-102.12921545,1098.69995117188,742524.66208034,4510014.54711252,6.25
1530811260000,40.70536091,-102.12928169,1099.40002441406,742519.069684854,4510014.23307001,5.5
1530811261000,40.70535084,-102.12934036,1098.90002441406,742514.149163714,4510012.95293749,4.75
1530811262000,40.70534352,-102.12939208,1098.90002441406,742509.805868733,4510011.99732975,4.25
1530811263000,40.70534081,-102.12944058,1098.69995117188,742505.717896226,4510011.56244595,4
1530811264000,40.70533852,-102.12947796,1099,742502.567938112,4510011.20491892,3.25
1530811265000,40.7053359,-102.12951848,1099.69995117188,742499.153876246,4510010.80207947,2.75
1530811266000,40.70533882,-102.12955477,1099.5,742496.07709768,4510011.0260062,2.5
1530811267000,40.70533939,-102.12957902,1099.59997558594,742494.026122326,4510011.02229063,2.25
1530811268000,40.70534318,-102.12959832,1099.80004882812,742492.381687084,4510011.38975168,2
1530811269000,40.70535102,-102.12962164,1099.90002441406,742490.382894982,4510012.19575711,1.75
1530811270000,40.70535465,-102.12964172,1099.80004882812,742488.673138169,4510012.54329998,1.5
1530811271000,40.70535676,-102.12965395,1099.80004882812,742487.632153689,4510012.74377338,1.5
1530811272000,40.70535812,-102.12966707,1099.90002441406,742486.518695148,4510012.85851941,1.5
1530811273000,40.70536017,-102.12968199,1100.30004882812,742485.250647992,4510013.04489977,1.5
1530811274000,40.70536251,-102.12969846,1100.30004882812,742483.850587153,4510013.25919529,1.5
1530811275000,40.70536582,-102.12971614,1100.80004882812,742482.344770947,4510013.57784225,1.5
1530811276000,40.70537,-102.12973362,1101.30004882812,742480.852694691,4510013.99363366,1.5
1530811277000,40.70537387,-102.12975288,1101.5,742479.211350177,4510014.37009006,1.75
1530811278000,40.70537737,-102.12977434,1101.5,742477.385469044,4510014.69938974,1.75
1530811279000,40.70538082,-102.1297968,1100.19995117188,742475.475278708,4510015.02037597,1.75
1530811280000,40.7053832,-102.12981926,1100.30004882812,742473.56897291,4510015.2225661,1.75
1530811281000,40.70538384,-102.12984197,1099.19995117188,742471.647861065,4510015.23088287,1.75
1530811282000,40.70538307,-102.1298619,1099.30004882812,742469.966752518,4510015.09033511,1.5
1530811283000,40.70538019,-102.12987677,1099.5,742468.720827549,4510014.72950397,1.5
1530811284000,40.70537757,-102.12987299,1099.30004882812,742469.049714198,4510014.44906146,0
1530811285000,40.70537666,-102.12986699,1099.40002441406,742469.559963133,4510014.36460436,0
1530811286000,40.70537639,-102.12986468,1099.40002441406,742469.756117293,4510014.34100923,0
1530811287000,40.70537595,-102.12986331,1099.40002441406,742469.873467122,4510014.29594305,0
1530811288000,40.70537526,-102.12986257,1099.30004882812,742469.938495215,4510014.22138023,0
1530811289000,40.70537531,-102.12986235,1099.40002441406,742469.956901709,4510014.22753924,0
1530811290000,40.70537492,-102.12986151,1099.5,742470.029289845,4510014.18656014,0
1530811291000,40.70537449,-102.12986109,1099.5,742470.066337003,4510014.13997975,0
1530811292000,40.70537419,-102.12986396,1099.40002441406,742469.824937116,4510014.09874366,0.5
1530811293000,40.70537308,-102.12987279,1099.40002441406,742469.082911772,4510013.95111247,0.75
1530811294000,40.70537277,-102.12988442,1098.90002441406,742468.101407711,4510013.88456603,0.75
1530811295000,40.70537327,-102.1298974,1098.5,742467.0029005,4510013.90422038,0.75
1530811296000,40.70537439,-102.12991074,1098.30004882812,742465.871725912,4510013.99171577,0.75
1530811297000,40.70537703,-102.129925,1098.59997558594,742464.657301985,4510014.24542755,0.75
1530811298000,40.70538241,-102.12993649,1098.90002441406,742463.666971578,4510014.81099973,0
1530811299000,40.70538433,-102.12994088,1098.90002441406,742463.289086762,4510015.01203996,0.25
1530811300000,40.70538804,-102.12995249,1099.19995117188,742462.294679852,4510015.39186935,0.75
1530811301000,40.70539212,-102.12996883,1099.40002441406,742460.899288002,4510015.79971147,1.25
1530811302000,40.70539588,-102.12999764,1099.69995117188,742458.451456526,4510016.13757795,2.5
1530811303000,40.70539931,-102.13003819,1099.5,742455.012900226,4510016.40637615,3.25
1530811304000,40.70539946,-102.13008716,1101,742450.874837101,4510016.28775525,3.75
1530811305000,40.70539531,-102.13014056,1101,742446.378087618,4510015.67949281,4
1530811306000,40.70538833,-102.1301973,1100.90002441406,742441.609410191,4510014.74780688,4.25
1530811307000,40.70537566,-102.13029171,1101.19995117188,742433.678611941,4510013.08034093,5.25
1530811308000,40.7053684,-102.13035435,1100.80004882812,742428.412451689,4510012.10127985,5.25
1530811309000,40.70537324,-102.13041849,1100.5,742422.975637443,4510012.46147987,4.75
1530811310000,40.70538013,-102.13045963,1099.5,742419.474674607,4510013.11281081,4
1530811311000,40.7053852,-102.13050094,1099.40002441406,742415.965954485,4510013.56160866,2.75
1530811312000,40.70538621,-102.13053011,1099.40002441406,742413.497689379,4510013.59317734,2
1530811313000,40.70539264,-102.13055543,1099.30004882812,742411.33504355,4510014.23713477,2.25
1530811314000,40.70539623,-102.13058466,1098.90002441406,742408.852345879,4510014.5549833,2.75
1530811315000,40.70539224,-102.1306171,1099.19995117188,742406.125942191,4510014.02239892,3
1530811316000,40.70538606,-102.13064882,1099,742403.468319512,4510013.24865972,2.5
1530811317000,40.70538061,-102.13067679,1098.90002441406,742401.124887964,4510012.56632638,2.25
1530811318000,40.70538053,-102.13069532,1099,742399.559561881,4510012.5062683,1
1530811319000,40.7053795,-102.13069931,1098.69995117188,742399.226181164,4510012.38089322,0
1530811320000,40.70537928,-102.13069973,1098.80004882812,742399.191493387,4510012.35530781,0
1530811321000,40.70537929,-102.13069991,1099.09997558594,742399.176248734,4510012.35592094,0
1530811322000,40.70537914,-102.13070016,1099.40002441406,742399.155670373,4510012.33857676,0
1530811323000,40.70537789,-102.1307011,1099.40002441406,742399.080785306,4510012.19719966,0
1530811324000,40.70537741,-102.13070237,1099.80004882812,742398.975223826,4510012.14040029,0
1530811325000,40.7053773,-102.13070284,1099.69995117188,742398.935912301,4510012.12688952,0
1530811326000,40.70537602,-102.13070362,1099.59997558594,742398.874654643,4510011.98262356,0
1530811327000,40.70537493,-102.13070456,1099.80004882812,742398.799188909,4510011.85901044,0
1530811328000,40.70537414,-102.13070591,1099.69995117188,742398.687993169,4510011.76757243,0
1530811329000,40.70537383,-102.130707,1099.80004882812,742398.597023098,4510011.7301444,0
