gpsTime,lat,lon,altitude,x,y,speed
1530741952000,40.6773211,-102.14458399,1097.90002441406,741327.402243108,4506858.95994991,0.75
1530741954000,40.67732081,-102.144585,1097.80004882812,741327.317918283,4506858.92497743,0
1530741955000,40.67732015,-102.14458104,1098.19995117188,741327.655024664,4506858.86258346,0.25
1530741956000,40.67732025,-102.14457634,1098,741328.051937333,4506858.88660142,0.25
1530741957000,40.67732035,-102.14457022,1098.30004882812,741328.568877348,4506858.91452156,0.5
1530741958000,40.67732067,-102.14456292,1098.09997558594,741329.184764314,4506858.97010971,0.5
1530741959000,40.6773212,-102.14455481,1098.09997558594,741329.868359588,4506859.05123887,0.5
1530741960000,40.67732193,-102.1445459,1098.19995117188,741330.618853994,4506859.15677136,0.5
1530741961000,40.67732252,-102.14453618,1098.59997558594,741331.438320014,4506859.24898644,0.5
1530741962000,40.67732284,-102.14452611,1098.69995117188,741332.288344794,4506859.31218689,0.5
1530741963000,40.67732326,-102.1445154,1098.90002441406,741333.192105446,4506859.3882486,0.5
1530741964000,40.67732373,-102.14450357,1099.19995117188,741334.190355062,4506859.47293947,0.75
1530741965000,40.67732426,-102.14449102,1099.5,741335.249247026,4506859.56627053,0.75
1530741966000,40.6773249,-102.14447498,1099.59997558594,741336.602738696,4506859.68140523,1
1530741967000,40.6773256,-102.144459,1099.5,741337.950942188,4506859.80303675,1
1530741968000,40.67732634,-102.14444308,1099.5,741339.293929693,4506859.92894459,1
1530741969000,40.6773269,-102.14442728,1099.59997558594,741340.62742375,4506860.03453855,1
1530741970000,40.6773275,-102.1444116,1099.80004882812,741341.950630246,4506860.14424393,1.25
1530741971000,40.6773279,-102.14439528,1099.80004882812,741343.328655484,4506860.23350354,1.25
1530741972000,40.67732816,-102.1443783,1099.80004882812,741344.762973419,4506860.30903381,1.25
1530741973000,40.67732821,-102.14436052,1099.90002441406,741346.265670422,4506860.36344783,1.25
1530741974000,40.67732769,-102.14434215,1099.90002441406,741347.820295497,4506860.3561998,1.25
1530741975000,40.67732706,-102.14432377,1099.90002441406,741349.376162936,4506860.33676692,1.25
1530741976000,40.67732629,-102.14430571,1100,741350.905487365,4506860.30091153,1.25
1530741977000,40.6773256,-102.14428755,1100.09997558594,741352.442975677,4506860.27421322,1.25
1530741978000,40.67732515,-102.14426945,1100,741353.974526086,4506860.27399614,1.25
1530741979000,40.67732465,-102.14425138,1100.30004882812,741355.503721223,4506860.26814572,1.25
1530741980000,40.67732428,-102.14423363,1100.19995117188,741357.005398685,4506860.2758493,1.25
1530741981000,40.67732426,-102.14421601,1100.09997558594,741358.494824282,4506860.32205437,1.5
1530741982000,40.67732441,-102.14419798,1100,741360.018291977,4506860.38826069,1.5
1530741983000,40.67732453,-102.14417943,1100,741361.585821644,4506860.45256575,1.5
1530741984000,40.67732438,-102.14416052,1100,741363.184755471,4506860.48788401,1.5
1530741985000,40.67732473,-102.14414187,1099.90002441406,741364.75990747,4506860.57800015,1.5
1530741986000,40.67732501,-102.14412315,1099.90002441406,741366.341229,4506860.66053732,1.5
1530741987000,40.67732518,-102.14410424,1100,741367.939007622,4506860.73138437,1.5
1530741988000,40.6773254,-102.14408502,1100.19995117188,741369.562808889,4506860.80863499,1.5
1530741989000,40.67732553,-102.14406612,1100.30004882812,741371.159886643,4506860.87501428,1.5
1530741990000,40.67732569,-102.1440469,1100.30004882812,741372.783904507,4506860.94560416,1.5
1530741991000,40.6773255,-102.14402756,1100.19995117188,741374.419329074,4506860.97766574,1.5
1530741992000,40.67732467,-102.14400839,1100.19995117188,741376.042694692,4506860.93820493,1.5
1530741993000,40.67732376,-102.14398923,1100.40002441406,741377.665503905,4506860.88983505,1.5
1530741994000,40.67732199,-102.14397053,1100.40002441406,741379.252535855,4506860.74472035,1.5
1530741995000,40.67732002,-102.14395248,1100.40002441406,741380.785347841,4506860.57561456,1.5
1530741996000,40.6773183,-102.14393393,1100.40002441406,741382.359520508,4506860.43563944,1.5
1530741997000,40.67731679,-102.14391469,1100.69995117188,741383.991258256,4506860.32087629,1.5
1530741998000,40.67731438,-102.14389534,1100.80004882812,741385.635543257,4506860.10649405,1.5
1530741999000,40.67730996,-102.14387712,1100.5,741387.19157041,4506859.6658475,1.5
1530742000000,40.67730442,-102.14385963,1100.59997558594,741388.689937152,4506859.09884759,1.5
1530742001000,40.67729715,-102.14384316,1100.59997558594,741390.108333227,4506858.33697241,1.5
1530742002000,40.6772886,-102.14382833,1100.30004882812,741391.392727701,4506857.42847859,1.5
1530742003000,40.67727877,-102.14381572,1100.40002441406,741392.494095299,4506856.37177181,1.5
1530742004000,40.6772671,-102.14380557,1100.40002441406,741393.394171501,4506855.10401873,1.5
1530742005000,40.67725431,-102.14379777,1099.90002441406,741394.099654656,4506853.70545908,1.5
1530742006000,40.67724069,-102.143793,1099.90002441406,741394.552019695,4506852.20642068,1.5
1530742007000,40.67722672,-102.14379096,1099.90002441406,741394.774891391,4506850.66101975,1.5
1530742008000,40.67721296,-102.14379069,1099.90002441406,741394.847393144,4506849.13406863,1.5
1530742009000,40.67719902,-102.14379316,1099.59997558594,741394.688942264,4506847.57960159,1.5
1530742010000,40.67718463,-102.14379791,1099.40002441406,741394.339395596,4506845.96890654,1.5
1530742011000,40.67717053,-102.14380514,1099.40002441406,741393.779176002,4506844.38359167,1.5
1530742012000,40.67715717,-102.14381409,1099.19995117188,741393.070898828,4506842.87570699,1.5
1530742013000,40.6771443,-102.14382483,1099.19995117188,741392.209549755,4506841.41730405,1.5
1530742014000,40.6771322,-102.14383746,1099.19995117188,741391.18566516,4506840.03919484,1.5
1530742015000,40.67712086,-102.14385218,1098.90002441406,741389.982375784,4506838.73971945,1.5
1530742016000,40.67711076,-102.14386897,1098.90002441406,741388.599639158,4506837.57222455,1.5
1530742017000,40.67710161,-102.14388689,1099.19995117188,741387.117957265,4506836.50709696,1.5
1530742018000,40.67709405,-102.14390604,1098.90002441406,741385.52656689,4506835.61511737,1.5
1530742019000,40.67708753,-102.14392571,1098.80004882812,741383.887467648,4506834.83717404,1.5
1530742020000,40.67708178,-102.14394587,1099.09997558594,741382.204170167,4506834.14337294,1.5
1530742021000,40.67707679,-102.14396621,1099,741380.502913846,4506833.53345588,1.5
1530742022000,40.67707268,-102.14398677,1098.90002441406,741378.779884457,4506833.02063586,1.5
1530742023000,40.67706969,-102.14400786,1098.69995117188,741377.008012378,4506832.63070664,1.75
1530742024000,40.67706768,-102.14402912,1098.59997558594,741375.218232694,4506832.34911434,1.75
1530742025000,40.67706618,-102.14405063,1098.69995117188,741373.4054801,4506832.12345771,1.75
1530742026000,40.67706538,-102.14407276,1098.5,741371.53779387,4506831.97381442,1.75
1530742027000,40.67706452,-102.14409468,1098.19995117188,741369.688074797,4506831.81808732,1.75
1530742028000,40.67706362,-102.14411664,1097.90002441406,741367.835119017,4506831.65780978,1.75
1530742029000,40.67706278,-102.14413863,1097.69995117188,741365.979410791,4506831.50411171,1.75
1530742030000,40.67706188,-102.14416032,1097.80004882812,741364.149277113,4506831.34457717,1.75
1530742031000,40.67706127,-102.14418118,1098.19995117188,741362.388253616,4506831.21952125,1.75
1530742032000,40.67706116,-102.14420168,1098.30004882812,741360.655854729,4506831.15096725,1.75
1530742033000,40.6770614,-102.1442219,1098.59997558594,741358.945859838,4506831.12204168,1.75
1530742034000,40.67706221,-102.14424218,1098.69995117188,741357.22873575,4506831.15623539,1.75
1530742035000,40.6770617,-102.14426239,1098.40002441406,741355.522293547,4506831.04406993,1.75
1530742036000,40.67706034,-102.1442827,1098.19995117188,741353.810466989,4506830.83725945,1.75
1530742037000,40.67705856,-102.14430317,1098.19995117188,741352.086632212,4506830.58337948,1.75
1530742038000,40.67705631,-102.14432297,1098.19995117188,741350.421126775,4506830.27915986,1.75
1530742039000,40.67705492,-102.14434295,1098.40002441406,741348.737302072,4506830.06992675,1.75
1530742040000,40.67705481,-102.14436257,1098.30004882812,741347.079286476,4506830.00379437,1.75
1530742041000,40.67705697,-102.14438164,1098.40002441406,741345.459566563,4506830.19119881,1.75
1530742042000,40.67705989,-102.14439986,1098.19995117188,741343.908951061,4506830.46531794,1.75
1530742043000,40.6770645,-102.14441673,1098.30004882812,741342.466346364,4506830.93077828,1.75
1530742044000,40.67707118,-102.14443257,1098.30004882812,741341.103332388,4506831.62888958,1.75
1530742045000,40.6770807,-102.14444629,1098.69995117188,741339.909263835,4506832.64813587,1.75
1530742046000,40.67709123,-102.14445808,1098.5,741338.874686255,4506833.78482062,1.75
1530742047000,40.67710273,-102.14446701,1098.80004882812,741338.078353715,4506835.03705853,1.5
1530742048000,40.67711542,-102.14447341,1098.40002441406,741337.491578247,4506836.42836798,1.5
1530742049000,40.67712904,-102.14447796,1098,741337.057820192,4506837.92801393,1.5
1530742050000,40.67714362,-102.14447967,1098.09997558594,741336.860652439,4506839.5420477,1.5
1530742051000,40.67715868,-102.14447772,1098.09997558594,741336.971119159,4506841.21943106,1.5
1530742052000,40.67717376,-102.14447457,1098.09997558594,741337.182945382,4506842.90233262,1.5
1530742053000,40.67718896,-102.14447187,1098.40002441406,741337.356301408,4506844.59732045,1.5
1530742054000,40.6772041,-102.14446953,1099,741337.499444368,4506846.28465754,1.5
1530742055000,40.6772189,-102.14446832,1099.09997558594,741337.54829961,4506847.93114105,1.5
1530742056000,40.67723406,-102.14446711,1099,741337.595855343,4506849.61759329,1.5
1530742057000,40.67724949,-102.1444661,1099.09997558594,741337.625531145,4506851.33347245,1.5
1530742058000,40.67726494,-102.14446435,1099.19995117188,741337.717684214,4506853.05360569,1.5
1530742059000,40.67728011,-102.14446143,1099.40002441406,741337.909743715,4506854.74586743,1.5
1530742060000,40.67729497,-102.14445646,1099.69995117188,741338.276201048,4506856.4093453,1.5
1530742061000,40.6773091,-102.14444786,1099.69995117188,741338.952123719,4506858.00175117,1.5
1530742062000,40.67732151,-102.14443567,1099.80004882812,741339.937704039,4506859.41306123,1.5
1530742063000,40.67733202,-102.14442026,1100.09997558594,741341.202316936,4506860.62227444,1.5
1530742064000,40.67733849,-102.14440164,1100.09997558594,741342.752841835,4506861.39177165,1.5
1530742065000,40.67734158,-102.14438244,1099.90002441406,741344.364592442,4506861.7876013,1.5
1530742066000,40.67734136,-102.14436565,1099.40002441406,741345.784582754,4506861.80931801,1.5
1530742067000,40.67733874,-102.14436199,1099.19995117188,741346.103406399,4506861.52849296,0.75
1530742068000,40.67733354,-102.1443779,1099.40002441406,741344.777363742,4506860.90744335,1
1530742069000,40.67732823,-102.14439443,1099.40002441406,741343.399311638,4506860.27247747,1
1530742070000,40.67732439,-102.14441286,1099.59997558594,741341.855353149,4506859.79549596,1.25
1530742071000,40.67732408,-102.14443094,1099.19995117188,741340.328236682,4506859.7113921,1.25
1530742072000,40.67732628,-102.14444438,1099.40002441406,741339.184262087,4506859.91871059,1
1530742073000,40.67732908,-102.14445362,1099.40002441406,741338.39313223,4506860.20418582,1
1530742074000,40.67732134,-102.14443786,1099.80004882812,741339.753205077,4506859.38816872,1
1530742075000,40.67731403,-102.14442534,1099.5,741340.837860839,4506858.6109883,1
1530742076000,40.67730532,-102.14441422,1099.30004882812,741341.809233497,4506857.67452673,1
1530742077000,40.67729535,-102.14440377,1098.90002441406,741342.728521934,4506856.5963335,1.25
1530742078000,40.67728158,-102.14438813,1098.90002441406,741344.100219174,4506855.11051136,1.75
1530742079000,40.67726974,-102.1443701,1099.09997558594,741345.666968236,4506853.84553436,1.75
1530742080000,40.67726015,-102.14435117,1098.80004882812,741347.301669684,4506852.83283552,1.75
1530742081000,40.67725272,-102.1443319,1098.5,741348.957313493,4506852.06088373,1.75
1530742082000,40.67724823,-102.14431298,1098.59997558594,741350.572760678,4506851.61438159,1.75
1530742083000,40.67724525,-102.14429353,1098.59997558594,741352.227556273,4506851.33698294,1.75
1530742084000,40.67724287,-102.14427377,1098.69995117188,741353.906389306,4506851.12705115,1.75
1530742085000,40.6772413,-102.14425378,1098.80004882812,741355.601739555,4506851.00768145,1.75
1530742086000,40.67723985,-102.14423355,1098.69995117188,741357.31694304,4506850.90229465,1.75
1530742087000,40.67723992,-102.14421343,1098.80004882812,741359.017361646,4506850.96536272,1.75
1530742088000,40.67724141,-102.14419373,1098.69995117188,741360.677153063,4506851.18493127,1.75
1530742089000,40.67724328,-102.1441736,1099,741362.371918981,4506851.44787119,1.75
1530742090000,40.67724422,-102.1441532,1099,741364.092864218,4506851.60830105,1.75
1530742091000,40.67724358,-102.14413307,1098.90002441406,741365.796691092,4506851.59257097,1.75
1530742092000,40.67724245,-102.14411292,1098.80004882812,741367.503977445,4506851.5224944,1.75
1530742093000,40.67724116,-102.14409303,1098.59997558594,741369.189864605,4506851.43393973,1.75
1530742094000,40.67724027,-102.14407306,1098.80004882812,741370.881069913,4506851.39001502,1.75
